run,energy_GeV,label,v_up,v_down,beam,capillary,status
2615,100,100GeV,42.25,42.25,100 GeV e-,"3xDSB1, 1xEnergy",DONE
2616,100,100GeV,42.25,42.25,100 GeV e-,"3xDSB1, 1xEnergy",DONE
2617,100,100GeV,42.25,42.25,100 GeV e-,"3xDSB1, 1xEnergy",DONE
2618,100,100GeV,42.25,42.25,100 GeV e-,"3xDSB1, 1xEnergy",DONE
2619,100,100GeV,42.25,42.25,100 GeV e-,"3xDSB1, 1xEnergy",DONE
2620,100,100GeV,42.25,42.25,100 GeV e-,"3xDSB1, 1xEnergy",DONE
2621,100,100GeV,42.25,42.25,100 GeV e-,"3xDSB1, 1xEnergy",DONE
2622,100,100GeV,42.25,42.25,100 GeV e-,"3xDSB1, 1xEnergy",DONE
2623,100,100GeV,42.25,42.25,100 GeV e-,"3xDSB1, 1xEnergy",DONE
2624,100,100GeV,42.25,42.25,100 GeV e-,"3xDSB1, 1xEnergy",DONE
2625,100,100GeV,42.25,42.25,100 GeV e-,"3xDSB1, 1xEnergy",DONE
2626,100,100GeV,42.25,42.25,100 GeV e-,"3xDSB1, 1xEnergy",DONE
2627,100,100GeV,42.25,42.25,100 GeV e-,"3xDSB1, 1xEnergy",DONE
2628,100,100GeV,42.25,42.25,100 GeV e-,"3xDSB1, 1xEnergy",DONE
2629,100,100GeV,42.25,42.25,100 GeV e-,"3xDSB1, 1xEnergy",DONE
2630,100,100GeV,42.25,42.25,100 GeV e-,"3xDSB1, 1xEnergy",DONE
2631,100,100GeV,42.25,42.25,100 GeV e-,"3xDSB1, 1xEnergy",DONE
2632,100,100GeV,42.25,42.25,100 GeV e-,"3xDSB1, 1xEnergy",DONE
2633,100,100GeV,42.25,42.25,100 GeV e-,"3xDSB1, 1xEnergy",DONE
2634,100,100GeV,42.25,42.25,100 GeV e-,"3xDSB1, 1xEnergy",DONE
2635,100,100GeV,42.25,42.25,100 GeV e-,"3xDSB1, 1xEnergy",DONE
2636,100,100GeV,42.25,42.25,100 GeV e-,"3xDSB1, 1xEnergy",DONE
2637,100,100GeV,42.25,42.25,100 GeV e-,"3xDSB1, 1xEnergy",DONE
2638,100,100GeV,42.25,42.25,100 GeV e-,"3xDSB1, 1xEnergy",DONE
2639,100,100GeV,42.25,42.25,100 GeV e-,"3xDSB1, 1xEnergy",DONE
2640,100,100GeV,42.25,42.25,100 GeV e-,"3xDSB1, 1xEnergy",DONE
2641,100,100GeV,42.25,42.25,100 GeV e-,"3xDSB1, 1xEnergy",DONE
2642,100,100GeV,42.25,42.25,100 GeV e-,"3xDSB1, 1xEnergy",DONE
2572,125,125GeV,42.25,42.25,125 GeV e-,"3xDSB1, 1xEnergy",DONE
2573,125,125GeV,42.25,42.25,125 GeV e-,"3xDSB1, 1xEnergy",DONE
2574,125,125GeV,42.25,42.25,125 GeV e-,"3xDSB1, 1xEnergy",DONE
2575,125,125GeV,42.25,42.25,125 GeV e-,"3xDSB1, 1xEnergy",DONE
2576,125,125GeV,42.25,42.25,125 GeV e-,"3xDSB1, 1xEnergy",DONE
2577,125,125GeV,42.25,42.25,125 GeV e-,"3xDSB1, 1xEnergy",DONE
2578,125,125GeV,42.25,42.25,125 GeV e-,"3xDSB1, 1xEnergy",DONE
2579,125,125GeV,42.25,42.25,125 GeV e-,"3xDSB1, 1xEnergy",DONE
2580,125,125GeV,42.25,42.25,125 GeV e-,"3xDSB1, 1xEnergy",DONE
2581,125,125GeV,42.25,42.25,125 GeV e-,"3xDSB1, 1xEnergy",DONE
2582,125,125GeV,42.25,42.25,125 GeV e-,"3xDSB1, 1xEnergy",DONE
2583,125,125GeV,42.25,42.25,125 GeV e-,"3xDSB1, 1xEnergy",DONE
2584,125,125GeV,42.25,42.25,125 GeV e-,"3xDSB1, 1xEnergy",DONE
2585,125,125GeV,42.25,42.25,125 GeV e-,"3xDSB1, 1xEnergy",DONE
2586,125,125GeV,42.25,42.25,125 GeV e-,"3xDSB1, 1xEnergy",DONE
2587,125,125GeV,42.25,42.25,125 GeV e-,"3xDSB1, 1xEnergy",DONE
2588,125,125GeV,42.25,42.25,125 GeV e-,"3xDSB1, 1xEnergy",DONE
2590,125,125GeV,42.25,42.25,125 GeV e-,"3xDSB1, 1xEnergy",DONE
2591,125,125GeV,42.25,42.25,125 GeV e-,"3xDSB1, 1xEnergy",DONE
2592,125,125GeV,42.25,42.25,125 GeV e-,"3xDSB1, 1xEnergy",DONE
2593,125,125GeV,42.25,42.25,125 GeV e-,"3xDSB1, 1xEnergy",DONE
2594,125,125GeV,42.25,42.25,125 GeV e-,"3xDSB1, 1xEnergy",DONE
2595,125,125GeV,42.25,42.25,125 GeV e-,"3xDSB1, 1xEnergy",DONE
2596,125,125GeV,42.25,42.25,125 GeV e-,"3xDSB1, 1xEnergy",DONE
