,,,,,,,,,,,,,
,"Day 3 - Friday, May 26th",,,,,,,,,,,,
,00:00 - 08:00,,,,,,,,,,,,
,Plan:,,,,,,,,,,,,
,On Shift:,Randy,Sasha,Carlos,Barkan,Onur,,,,,,,
,1:00 AM,DRS0 stopped working,,,,,,,,Notes by: Carlos,,,
,1:30 AM,Message from Sasha: Habemus WireChambers! Signals look healthy. We start to analyze. Problem Wirechamber mapping is a bit unexpected. MCP signal is to small and narrow.,,,,,,,,Notes by: Carlos,,,
,2:00 AM,Install handshake to trigger counter,,,,,,,,Notes by: Carlos,,,
,2:30 AM,Randy updated the channel MAP,,,,,,,,Notes by: Carlos,,,
,3:00 AM,There is a 150 ns window between trigger and veto. Probably better to fill with narrow self veto.,,,,"This was added in at 5:30 AM - BK, OP, RR",,,,Notes by: Carlos,,,
,4:00 AM,"After several power cycles from DRS and NIM crate, DRS0 does not come back NOR noise in trigger goes away. Decided to reboot the machine",,,,,,,,Notes by: Carlos,,,
,4:20 AM,Access to plug DRS0 and DRS1 with USB cable. Only DRS0 could be plug. However iDRS0 still not triggering.,,,,,,,,Notes by: Carlos,,,
,4:40 AM,Channel Mapping posted in documents /images.   This  reviesion including exactly where the beam chamber channels were inserted.,,,,,,,,R. Ruchti,,,
,4:40 AM,Shift Schedule posted dcuments/images.  Please alert RR of any corrections.,,,,,,,,R. Ruchti,,,
,4:40 AM,Move back to CONET.,,,,,,,,Carlos,,,
,5:00 AM,Berkan and Onur called to check trigger crate due to alarm.  Power/heating issues suspected.,,,,,,,,R. Ruchti,,,
,5:45 AM,Reparied.   Veto added to block incidental triggers between event trigger and arrival of back pressure pulses from CAEN DRS0 and DRS1. ,,,,,,,,R. Ruchti,,,
,5:50 AM,"CCC called to understand why we have not been getting beam., since about 0300 except we have been having equipment issues that distracted our attention.  ",,,,,,,,R. Ruchti,,,
,6:05 AM,Berkan with CCC found that some radiation monitor in the beam line had indicated somethine and would not reset.   Now reset with beam delivery.,,,,,,,,R. Ruchti,,,
,7:00 AM,Revised Run Plan posted to site.,,,,,,,,,,,
,7:30 AM,Berkan started a Data run for test.  looks like the two DRS units are seeing the same number of events and units are assumed to be sychronized.,,,,,,,,,,,
,,,,,,,,,,,,,
,"Day 3 - Friday, May 26th",,,,,,,,,,,,
,08:00 - 16:00,,,,,,,,,,,,
,Plan:,,,,,,,,,,,,
,On Shift:,Thomas A,Thomas B,Wynona ,,,,,,,,,
,Notes:,,,,,,,,,,,,
,9:08 AM,Beam currently down for at least 30 mins,,,,,,,,Thomas A,,,
