run,energy_GeV,label,v_up,v_down,beam,capillary,status
2879,100,100GeV,42.25,42.25,100 GeV e-,"2xDSB1, 2xLuAG",DONE
2880,100,100GeV,42.25,42.25,100 GeV e-,"2xDSB1, 2xLuAG",DONE
2881,100,100GeV,42.25,42.25,100 GeV e-,"2xDSB1, 2xLuAG",DONE
2882,100,100GeV,42.25,42.25,100 GeV e-,"2xDSB1, 2xLuAG",DONE
2883,100,100GeV,42.25,42.25,100 GeV e-,"2xDSB1, 2xLuAG",DONE
2884,100,100GeV,42.25,42.25,100 GeV e-,"2xDSB1, 2xLuAG",DONE
2885,100,100GeV,42.25,42.25,100 GeV e-,"2xDSB1, 2xLuAG",DONE
2886,100,100GeV,42.25,42.25,100 GeV e-,"2xDSB1, 2xLuAG",DONE
2887,100,100GeV,42.25,42.25,100 GeV e-,"2xDSB1, 2xLuAG",DONE
2888,100,100GeV,42.25,42.25,100 GeV e-,"2xDSB1, 2xLuAG",DONE
2889,100,100GeV,42.25,42.25,100 GeV e-,"2xDSB1, 2xLuAG",DONE
2890,100,100GeV,42.25,42.25,100 GeV e-,"2xDSB1, 2xLuAG",DONE
2891,100,100GeV,42.25,42.25,100 GeV e-,"2xDSB1, 2xLuAG",DONE
2892,100,100GeV,42.25,42.25,100 GeV e-,"2xDSB1, 2xLuAG",DONE
2893,100,100GeV,42.25,42.25,100 GeV e-,"2xDSB1, 2xLuAG",DONE
2894,100,100GeV,42.25,42.25,100 GeV e-,"2xDSB1, 2xLuAG",DONE
2895,100,100GeV,42.25,42.25,100 GeV e-,"2xDSB1, 2xLuAG",DONE
2896,100,100GeV,42.25,42.25,100 GeV e-,"2xDSB1, 2xLuAG",DONE
2897,100,100GeV,42.25,42.25,100 GeV e-,"2xDSB1, 2xLuAG",DONE
2898,100,100GeV,42.25,42.25,100 GeV e-,"2xDSB1, 2xLuAG",DONE
2899,100,100GeV,42.25,42.25,100 GeV e-,"2xDSB1, 2xLuAG",DONE
2900,100,100GeV,42.25,42.25,100 GeV e-,"2xDSB1, 2xLuAG",DONE
2901,100,100GeV,42.25,42.25,100 GeV e-,"2xDSB1, 2xLuAG",DONE
2902,100,100GeV,42.25,42.25,100 GeV e-,"2xDSB1, 2xLuAG",DONE
2903,100,100GeV,42.25,42.25,100 GeV e-,"2xDSB1, 2xLuAG",DONE
2995,100,100GeV,42.25,42.25,100 GeV e-,"2xDSB1, 2xLuAG",DONE
2996,100,100GeV,42.25,42.25,100 GeV e-,"2xDSB1, 2xLuAG",DONE
2997,100,100GeV,42.25,42.25,100 GeV e-,"2xDSB1, 2xLuAG",DONE
2998,100,100GeV,42.25,42.25,100 GeV e-,"2xDSB1, 2xLuAG",DONE
2999,100,100GeV,42.25,42.25,100 GeV e-,"2xDSB1, 2xLuAG",DONE
3000,100,100GeV,42.25,42.25,100 GeV e-,"2xDSB1, 2xLuAG",DONE
3001,100,100GeV,42.25,42.25,100 GeV e-,"2xDSB1, 2xLuAG",DONE
3002,100,100GeV,42.25,42.25,100 GeV e-,"2xDSB1, 2xLuAG",DONE
2829,125,125GeV,42.25,42.25,125 GeV e-,"2xDSB1, 2xLuAG",DONE
2832,125,125GeV,42.25,42.25,125 GeV e-,"2xDSB1, 2xLuAG",DONE
2834,125,125GeV,42.25,42.25,125 GeV e-,"2xDSB1, 2xLuAG",DONE
2835,125,125GeV,42.25,42.25,125 GeV e-,"2xDSB1, 2xLuAG",DONE
2836,125,125GeV,42.25,42.25,125 GeV e-,"2xDSB1, 2xLuAG",DONE
2837,125,125GeV,42.25,42.25,125 GeV e-,"2xDSB1, 2xLuAG",DONE
2838,125,125GeV,42.25,42.25,125 GeV e-,"2xDSB1, 2xLuAG",DONE
2839,125,125GeV,42.25,42.25,125 GeV e-,"2xDSB1, 2xLuAG",DONE
2840,125,125GeV,42.25,42.25,125 GeV e-,"2xDSB1, 2xLuAG",DONE
2841,125,125GeV,42.25,42.25,125 GeV e-,"2xDSB1, 2xLuAG",DONE
2842,125,125GeV,42.25,42.25,125 GeV e-,"2xDSB1, 2xLuAG",DONE
2843,125,125GeV,42.25,42.25,125 GeV e-,"2xDSB1, 2xLuAG",DONE
2844,125,125GeV,42.25,42.25,125 GeV e-,"2xDSB1, 2xLuAG",DONE
2845,125,125GeV,42.25,42.25,125 GeV e-,"2xDSB1, 2xLuAG",DONE
2846,125,125GeV,42.25,42.25,125 GeV e-,"2xDSB1, 2xLuAG",DONE
2847,125,125GeV,42.25,42.25,125 GeV e-,"2xDSB1, 2xLuAG",DONE
2848,125,125GeV,42.25,42.25,125 GeV e-,"2xDSB1, 2xLuAG",DONE
2850,125,125GeV,42.25,42.25,125 GeV e-,"2xDSB1, 2xLuAG",DONE
2851,125,125GeV,42.25,42.25,125 GeV e-,"2xDSB1, 2xLuAG",DONE
2852,125,125GeV,42.25,42.25,125 GeV e-,"2xDSB1, 2xLuAG",DONE
2853,125,125GeV,42.25,42.25,125 GeV e-,"2xDSB1, 2xLuAG",DONE
2854,125,125GeV,42.25,42.25,125 GeV e-,"2xDSB1, 2xLuAG",DONE
2855,125,125GeV,42.25,42.25,125 GeV e-,"2xDSB1, 2xLuAG",DONE
2856,125,125GeV,42.25,42.25,125 GeV e-,"2xDSB1, 2xLuAG",DONE
2857,125,125GeV,42.25,42.25,125 GeV e-,"2xDSB1, 2xLuAG",DONE
2858,125,125GeV,42.25,42.25,125 GeV e-,"2xDSB1, 2xLuAG",DONE
2859,125,125GeV,42.25,42.25,125 GeV e-,"2xDSB1, 2xLuAG",DONE
2860,125,125GeV,42.25,42.25,125 GeV e-,"2xDSB1, 2xLuAG",DONE
2861,125,125GeV,42.25,42.25,125 GeV e-,"2xDSB1, 2xLuAG",DONE
2862,125,125GeV,42.25,42.25,125 GeV e-,"2xDSB1, 2xLuAG",DONE
